No,Name,Type,Race1,Race2,COST,Rare,MaxLv,HP,ATK
61,ヒノポックル,炎,妖精,,2,1,10,190,67
62,ヒノポックルン,炎,妖精,,5,2,30,317,145
63,ミズポックル,水,妖精,,2,1,10,184,57
64,ミズポックルン,水,妖精,,5,2,30,316,136
65,カゼポックル,風,妖精,,2,1,10,185,61
66,カゼポックルン,風,妖精,,5,2,30,310,145
67,ピカポックル,光,妖精,,2,1,10,180,61
68,ピカポックルン,光,妖精,,5,2,30,304,135
69,ヤミポックル,闇,妖精,,2,1,10,178,65
70,ヤミポックルン,闇,妖精,,5,2,30,296,147
71,コロポックル,無,妖精,,2,1,10,177,67
72,コロポックルン,無,妖精,,5,2,30,309,147
73,キャット・ヒー,炎,獣,,2,1,10,319,164
74,ケット・ヒー,炎,獣,,5,2,30,608,530
75,キャット・スィー,水,獣,,2,1,10,340,153
76,ケット・スィー,水,獣,,5,2,30,646,522
77,キャット・フー,風,獣,,2,1,10,333,157
78,ケット・フー,風,獣,,5,2,30,631,507
79,キャット・ピー,光,獣,,2,1,10,307,150
80,ケット・ピー,光,獣,,5,2,30,596,517
81,キャット・ミー,闇,獣,,2,1,10,324,161
82,ケット・ミー,闇,獣,,5,2,30,618,536
83,キャット・ムー,無,獣,,2,1,10,320,152
84,ケット・ムー,無,獣,,5,2,30,619,525
85,フィアトロン,炎,機械,,4,1,25,820,320
86,フィアトロン：ツヴァイ,炎,機械,,7,2,70,2564,790
87,ウォタトロン,水,機械,,4,1,25,834,310
88,ウォタトロン：ツヴァイ,水,機械,,7,2,70,2676,729
89,ウィンドロン,風,機械,,4,1,25,840,311
90,ウィンドロン：ツヴァイ,風,機械,,7,2,70,2618,756
91,ライトロン,光,機械,,4,1,25,696,350
92,ライトロン：ツヴァイ,光,機械,,7,2,70,2535,935
93,ダクトロン,闇,機械,,4,1,25,665,370
94,ダクトロン：ツヴァイ,闇,機械,,7,2,70,1980,958
95,ノントロン,無,機械,,4,1,25,774,331
96,ノントロン：ツヴァイ,無,機械,,7,2,70,2745,829
97,フレイムエッジ,炎,魔物,,6,2,25,653,394
98,フレイムタン,炎,魔物,,9,3,70,1338,878
99,アイスエッジ,水,魔物,,6,2,25,647,421
100,アイスブランド,水,魔物,,9,3,70,1220,933
101,ウィンドエッジ,風,魔物,,6,2,25,704,408
102,ウィンドピア,風,魔物,,9,3,70,1277,907
103,ライトエッジ,光,魔物,,6,2,25,681,389
104,ライトブレード,光,魔物,,9,3,70,1243,891
105,ダークエッジ,闇,魔物,,6,2,25,698,410
106,ダークサイズ,闇,魔物,,9,3,70,1312,917
107,ゼロエッジ,無,魔物,,6,2,25,678,402
108,ムミョウガタナ,無,魔物,,9,3,70,1279,910
109,プチドナ,炎,妖精,,5,3,25,271,253
110,エキドナ,炎,妖精,,8,4,70,841,558
111,プチメイド,水,妖精,,5,3,25,315,203
112,マーメイド,水,妖精,,8,4,70,871,537
113,プチラウネ,風,妖精,,5,3,25,282,229
114,アルラウネ,風,妖精,,8,4,70,808,544
115,プチキューレ,光,妖精,,5,3,25,279,176
116,ワルキューレ,光,妖精,,8,4,70,827,515
117,プチバス,闇,妖精,,5,3,25,291,265
118,サキュバス,闇,妖精,,8,4,70,848,532
119,プチースト,無,妖精,,5,3,25,286,230
120,ゴースト,無,妖精,,8,4,70,836,544
121,コンコン,炎,獣,,3,3,15,340,185
122,クビギツネ,炎,獣,,6,4,50,841,453
123,ワオン,水,獣,,3,3,15,364,166
124,ハティ,水,獣,,6,4,50,890,405
125,ブヒー,風,獣,,3,3,15,351,180
126,ベヒモス,風,獣,,6,4,50,871,416
127,ガルル,光,獣,,3,3,15,354,172
128,ケルベロス,光,獣,,6,4,50,821,416
129,カァーカ,闇,獣,,3,3,15,345,175
130,ヤタガラス,闇,獣,,6,4,50,879,428
131,シュルル,無,獣,,3,3,15,352,177
132,バジリスク,無,獣,,6,4,50,859,421
133,サラマンダー,炎,機械,,12,5,35,1001,478
134,サラマンダー：バースト,炎,機械,,18,6,99,2329,1564
135,リヴァイアサン,水,機械,,12,5,35,1082,471
136,リヴァイアサン：バースト,水,機械,,18,6,99,2417,1562
137,ヨルムンガルド,風,機械,,12,5,35,977,509
138,ヨルムンガルド：バースト,風,機械,,18,6,99,2365,1571
139,ファーブニル,光,機械,,12,5,35,950,476
140,ファーブニル：バースト,光,機械,,18,6,99,2285,1523
141,ニーズヘッグ,闇,機械,,12,5,35,1022,511
142,ニーズヘッグ：バースト,闇,機械,,18,6,99,2320,1562
143,ウロボロス,無,機械,,12,5,35,1006,491
144,ウロボロス：バースト,無,機械,,18,6,99,2643,1483
145,イフリート,炎,妖精,,15,5,50,1579,902
146,炎精王イフリート,炎,妖精,,20,6,99,2871,1460
147,ウンディーネ,水,妖精,,15,5,50,1601,902
148,水精王ウンディーネ,水,妖精,,20,6,99,2909,1499
149,シルフ,風,妖精,,15,5,50,1395,753
150,風精王シルフ,風,妖精,,20,6,99,2182,1068
151,ウィルオウィスプ,光,妖精,,15,5,50,1321,773
152,光精王ウィルオウィスプ,光,妖精,,20,6,99,3085,1187
153,シャドウ,闇,妖精,,15,5,50,1432,869
154,闇精王シャドウ,闇,妖精,,20,6,99,2676,1599
155,ゼロ,無,妖精,,15,5,50,1469,837
156,無精王ゼロ,無,妖精,,20,6,99,2915,1461
157,ヒノゲコー,炎,妖精,,2,3,10,183,63
158,ミズゲコー,水,妖精,,2,3,10,186,62
159,カゼゲコー,風,妖精,,2,3,10,190,62
160,ピカゲコー,光,妖精,,2,3,10,185,66
161,ヤミゲコー,闇,妖精,,2,3,10,190,70
162,ムゲコー,無,妖精,,2,3,10,187,66
163,ヒノモッフル,炎,獣,,2,3,10,186,61
164,ミズモッフル,水,獣,,2,3,10,181,68
165,カゼモッフル,風,獣,,2,3,10,183,61
166,ピカモッフル,光,獣,,2,3,10,181,67
167,ヤミモッフル,闇,獣,,2,3,10,189,61
168,ムモッフル,無,獣,,2,3,10,182,68
169,ヒノロボタン,炎,機械,,2,3,10,184,66
170,ミズロボタン,水,機械,,2,3,10,189,61
171,カゼロボタン,風,機械,,2,3,10,181,69
172,ピカロボタン,光,機械,,2,3,10,188,70
173,ヤミロボタン,闇,機械,,2,3,10,181,63
174,ムロボタン,無,機械,,2,3,10,186,62
175,ヒノテルテル,炎,魔物,,2,3,10,190,66
176,ミズテルテル,水,魔物,,2,3,10,181,69
177,カゼテルテル,風,魔物,,2,3,10,190,66
178,ピカテルテル,光,魔物,,2,3,10,189,65
179,ヤミテルテル,闇,魔物,,2,3,10,188,67
180,ムテルテル,無,魔物,,2,3,10,186,62
181,ヒノドラグルミ,炎,竜,,2,3,10,185,67
182,ミズドラグルミ,水,竜,,2,3,10,188,66
183,カゼドラグルミ,風,竜,,2,3,10,185,62
184,ピカドラグルミ,光,竜,,2,3,10,185,61
185,ヤミドラグルミ,闇,竜,,2,3,10,183,66
186,ムドラグルミ,無,竜,,2,3,10,181,69
187,フレアエッグ,炎,強化合成用,,1,3,1,105,25
188,ハイフレアエッグ,炎,強化合成用,,1,4,1,251,33
189,キングフレアエッグ,炎,強化合成用,,1,5,1,502,49
190,アクアエッグ,水,強化合成用,,1,3,1,110,28
191,ハイアクアエッグ,水,強化合成用,,1,4,1,260,34
192,キングアクアエッグ,水,強化合成用,,1,5,1,510,50
193,ウィンドエッグ,風,強化合成用,,1,3,1,109,22
194,ハイウィンドエッグ,風,強化合成用,,1,4,1,253,38
195,キングウィンドエッグ,風,強化合成用,,1,5,1,501,46
196,ゴールドエッグ,光,強化合成用,,1,3,1,104,30
197,ハイゴールドエッグ,光,強化合成用,,1,4,1,259,33
198,キングゴールドエッグ,光,強化合成用,,1,5,1,509,42
199,ダークエッグ,闇,強化合成用,,1,3,1,102,27
200,ハイダークエッグ,闇,強化合成用,,1,4,1,253,36
201,キングダークエッグ,闇,強化合成用,,1,5,1,502,49
202,メタルエッグ,無,強化合成用,,1,3,1,104,22
203,ハイメタルエッグ,無,強化合成用,,1,4,1,251,37
204,キングメタルエッグ,無,強化合成用,,1,5,1,501,48
205,ソードアーム,炎,機械,,5,3,15,243,399
206,ソードアーム：セカンド,炎,機械,,8,4,50,529,958
207,ランスアーム,水,機械,,5,3,15,256,384
208,ランスアーム：セカンド,水,機械,,8,4,50,536,973
209,アローアーム,風,機械,,5,3,15,249,395
210,アローアーム：セカンド,風,機械,,8,4,50,551,908
211,アクスアーム,光,機械,,5,3,15,240,381
212,アクスアーム：セカンド,光,機械,,8,4,50,521,996
213,サイズアーム,闇,機械,,5,3,15,228,388
214,サイズアーム：セカンド,闇,機械,,8,4,50,517,925
215,ドリルアーム,無,機械,,5,3,15,247,386
216,ドリルアーム：セカンド,無,機械,,8,4,50,531,988
217,ロキ,無,神,,30,5,50,1890,945
218,悪戯王ロキ,無,神,,50,6,99,3368,1771
219,クロノス,無,神,,13,5,50,1168,549
220,観測者クロノス,無,神,,33,6,99,2339,1073
221,ゴウエンニヤカレシモノ,炎,神,,50,6,99,3499,1178
222,リュウスイニタダヨイシモノ,水,神,,50,6,99,3842,1156
223,センプウニフカレシモノ,風,神,,50,6,99,3890,1141
224,センコウニテラサレシモノ,光,神,,50,6,99,3819,1115
225,トコヤミニダカレシモノ,闇,神,,50,6,99,3867,1190
226,ゼツムニハタセシモノ,無,神,,50,6,99,3848,1157
227,クリスティーナ,炎,人間,,12,5,35,480,369
228,牧瀬紅莉栖,炎,人間,,20,6,70,1408,931
229,まゆしぃ☆,水,人間,,12,5,35,456,342
230,椎名まゆり,水,人間,,20,6,70,1336,877
231,バレル・タイターの娘,風,人間,,12,5,35,489,408
232,阿万音鈴羽,風,人間,,20,6,70,1432,860
233,フェイリス・ニャンニャン,光,人間,,12,5,35,429,344
234,フェイリス,光,人間,,20,6,70,1256,888
235,ルカ子,無,人間,,12,5,35,483,352
236,漆原るか,無,人間,,20,6,70,1416,897
237,鳳凰院凶真,闇,人間,,12,5,35,531,472
238,岡部倫太郎,闇,人間,,20,6,70,1556,990
239,ダル,無,人間,,12,5,35,492,588
240,橋田至,無,人間,,20,6,70,1440,969
241,アルパカ司令,無,獣,,2,3,15,424,377
242,アルパカマン,無,獣,,12,4,35,995,633
243,うーぱ,無,妖精,,40,3,1,104,30
244,レッドうーぱ,炎,妖精,,40,3,1,104,30
245,ブルーうーぱ,水,妖精,,40,3,1,104,30
246,グリーンうーぱ,風,妖精,,40,3,1,104,30
247,メタルうーぱ：ゴールド,光,妖精,,40,3,1,104,30
248,パープルうーぱ,闇,妖精,,40,3,1,104,30
249,メタルうーぱ,無,妖精,,40,3,1,104,30
250,めたぼんうーぱ,闇,妖精,,40,3,1,104,30
251,クッキャー,光,魔物,,8,3,15,392,192
252,デッドクッキャー,光,魔物,,15,4,50,833,467
253,キャンディア,闇,魔物,,8,3,15,408,161
254,デッドキャンディア,闇,魔物,,15,4,50,867,391
255,チョコラ,無,魔物,,8,3,15,448,199
256,デッドチョコラ,無,魔物,,15,4,50,952,484
257,ジャックランタン,闇,魔物,,20,5,50,1031,466
258,収穫魔ジャックランタン,闇,魔物,,35,6,99,2822,943
259,アカズキン,炎,魔物,,15,5,50,2040,605
260,赤の女王アカズキン,炎,魔物,,20,6,99,2550,1453
261,アリス,水,魔物,,15,5,50,1980,602
262,青の女王アリス,水,魔物,,20,6,99,2475,1444
263,イバラ,風,魔物,,15,5,50,2100,577
264,緑の女王イバラ,風,魔物,,20,6,99,2625,1402
265,シンデレラ,光,魔物,,15,5,50,2012,588
266,黄の女王シンデレラ,光,魔物,,20,6,99,2515,1428
267,カグヤ,闇,魔物,,15,5,50,1952,591
268,紫の女王カグヤ,闇,魔物,,20,6,99,2440,1436
269,シラユキ,無,魔物,,15,5,50,2012,612
270,白の女王シラユキ,無,魔物,,20,6,99,2515,1452
271,ベディヴィア,炎,人間,,15,5,50,2043,984
272,聖銃士ベディヴィア,炎,人間,,20,6,99,3587,1990
273,トリスタン,水,人間,,15,5,50,2183,842
274,聖銃士トリスタン,水,人間,,20,6,99,3832,1403
275,ガレス,風,人間,,15,5,50,1845,898
276,聖銃士ガレス,風,人間,,20,6,99,3839,1698
277,ランスロット,光,人間,,15,5,50,2070,898
278,聖銃士ランスロット,光,人間,,20,6,99,3634,1698
279,パーシヴァル,闇,人間,,15,5,50,1908,918
280,聖銃士パーシヴァル,闇,人間,,20,6,99,3350,1729
281,ガウェイン,無,人間,,15,5,50,2183,948
282,聖銃士ガウェイン,無,人間,,20,6,99,3832,1779
283,ユーウェイン,炎,人間,,15,5,50,1742,799
284,聖銃士ユーウェイン,炎,人間,,20,6,99,3358,1961
285,ブルーノ,水,人間,,15,5,50,1418,779
286,聖銃士ブルーノ,水,人間,,20,6,99,3089,1898
287,ケイ,風,人間,,15,5,50,1823,918
288,聖銃士ケイ,風,人間,,20,6,99,3400,1729
289,ラモラック,光,人間,,15,5,50,1931,964
290,聖銃士ラモラック,光,人間,,20,6,99,3390,1706
291,モルドレッド,闇,人間,,15,5,50,1710,806
292,聖銃士モルドレッド,闇,人間,,20,6,99,3302,1842
293,パロミデス,無,人間,,15,5,50,1958,918
294,聖銃士パロミデス,無,人間,,20,6,99,3437,2029
295,アーサー,光,人間,,40,5,50,1611,1733
296,聖王アーサー,光,人間,,50,6,99,2829,2888
297,メガヒノポックルン,炎,妖精,,8,3,50,1100,850
298,メガミズポックルン,水,妖精,,8,3,50,1150,825
299,メガカゼポックルン,風,妖精,,8,3,50,1050,840
300,メガピカポックルン,光,妖精,,8,3,50,1000,800
301,メガヤミポックルン,闇,妖精,,8,3,50,950,815
302,メガコロポックルン,無,妖精,,8,3,50,1050,825
303,ナツ,炎,人間,,10,4,35,1036,1395
304,火の滅竜魔導士ナツ,炎,人間,,20,5,99,1728,2317
305,グレイ,水,人間,,10,4,35,1272,1156
306,氷の造形魔導士グレイ,水,人間,,20,5,99,2113,1920
307,ウェンディ,風,人間,,10,4,35,1196,1063
308,天空の滅竜魔導士ウェンディ,風,人間,,20,5,99,1986,1766
309,ルーシィ,光,人間,,10,4,35,1231,1137
310,星霊魔導士ルーシィ,光,人間,,20,5,99,2044,1889
311,ミラジェーン,闇,人間,,10,4,35,1421,996
312,ミラジェーン：サタンソウル,闇,人間,,20,5,99,2360,1655
313,ガジル,無,人間,,10,4,35,1086,1361
314,鉄の滅竜魔導士ガジル,無,人間,,20,5,99,1804,2260
315,エルザ,無,人間,,15,5,50,1709,1433
316,エルザ：聖扉の鎧,無,人間,,25,6,99,2838,2380
317,リサーナ,風,人間,,15,4,50,1144,847
318,ジュビア,水,人間,,15,4,50,1292,902
319,ラクサス,光,人間,,15,4,50,1540,951
320,ギルダーツ,炎,人間,,15,5,50,1650,1402
321,メイビス,無,人間,,35,6,99,2780,1945
322,ハッピー,炎,妖精,,5,2,30,437,357
323,ニチヤ,水,妖精,,5,2,30,388,122
324,シャルル,風,妖精,,5,2,30,1141,273
325,レクター,光,妖精,,5,2,30,1141,297
326,フロッシュ,闇,妖精,,5,2,30,1141,227
327,パンサー・リリー,無,妖精,,5,2,30,1141,437
328,プルー,光,妖精,,5,3,15,815,250
329,ジェラール,闇,人間,,25,6,99,2159,2422
330,ユライ,風,人間,,5,5,35,810,456
331,義賊皇ユライ,風,人間,,20,6,99,1912,891
332,イナリ,炎,獣,,5,5,35,718,410
333,巫女狐イナリ,炎,獣,,20,6,99,1694,801
334,炎刑者フレイムタン,炎,魔物,,14,4,70,1705,1118
335,氷刑者アイスブランド,水,魔物,,14,4,70,1555,1188
336,風刑者ウィンドピア,風,魔物,,14,4,70,1626,1156
337,光刑者ライトブレード,光,魔物,,14,4,70,1584,1135
338,闇刑者ダークサイズ,闇,魔物,,14,4,70,1672,1167
339,無刑者ムミョウガタナ,無,魔物,,14,4,70,1630,1159
340,閃光の指圧師,闇,人間,,12,5,35,531,472
341,桐生萌郁,闇,人間,,20,6,99,1556,990
342,ヴァルプルギス,闇,魔物,,40,5,50,1788,988
343,魔女王ヴァルプルギス,闇,魔物,,50,6,99,3140,1546
344,パブロフ,炎,人間,,20,5,50,1816,1104
345,炎才パブロフ,炎,人間,,25,6,99,3405,2153
346,シュレディンガー,水,魔物,,20,5,50,1940,1108
347,水才シュレディンガー,水,魔物,,25,6,99,3637,2216
348,ラプラス,風,妖精,,20,5,50,1640,1148
349,風才ラプラス,風,妖精,,25,6,99,3075,2411
350,カルネアデス,光,魔物,,20,5,50,1840,1140
351,光才カルネアデス,光,魔物,,25,6,99,3450,2280
352,ヘンペル,闇,妖精,,20,5,50,1696,1220
353,闇才ヘンペル,闇,妖精,,25,6,99,3180,2501
354,メビウス,無,魔物,,20,5,50,1940,1184
355,無才メビウス,無,魔物,,25,6,99,3637,2368
356,プチモネ,炎,妖精,,5,3,25,326,228
357,アネモネ,炎,妖精,,8,4,70,1010,503
358,プチニカ,水,妖精,,5,3,25,378,183
359,ベロニカ,水,妖精,,8,4,70,1046,484
360,プチゼツラン,風,妖精,,5,3,25,339,207
361,リュウゼツラン,風,妖精,,8,4,70,970,490
362,プチワリ,光,妖精,,5,3,25,335,159
363,ヒマワリ,光,妖精,,8,4,70,993,464
364,プチオラ,闇,妖精,,5,3,25,350,239
365,ビオラ,闇,妖精,,8,4,70,1018,479
366,プチユリ,無,妖精,,5,3,25,344,207
367,シラユリ,無,妖精,,8,4,70,1004,490
368,スノウマン,無,妖精,,8,3,15,392,192
369,セイントスノウマン,無,妖精,,15,4,50,833,467
370,ティンクル,無,妖精,,8,3,15,408,161
371,セイントティンクル,無,妖精,,15,4,50,867,391
372,ブーツン,無,妖精,,8,3,15,448,199
373,セイントブーツン,無,妖精,,15,4,50,952,484
374,イヴ,風,妖精,,20,5,50,928,560
375,聖女イヴ,風,妖精,,35,6,99,2090,1132
376,サンタクローズ,無,妖精,,20,5,50,836,672
377,聖者サンタクローズ,無,妖精,,35,6,99,1881,1359
378,ジャック,水,魔物,,5,5,35,567,529
379,切裂魔ジャック,水,魔物,,20,6,99,1339,1034
380,コスモ,闇,妖精,,8,5,35,1003,609
381,多元嬢コスモ,闇,妖精,,25,6,99,1874,1120
382,ミスター☆ディバイン,無,人間,,10,3,30,500,125
383,ミスター☆ディバイン２号,炎,人間,,5,3,30,290,181
384,ミスター☆ディバイン３号,水,人間,,5,3,30,269,168
385,ミスター☆ディバイヌ,闇,獣,,5,4,30,277,175
386,ミスター☆エッグ,無,強化合成用,,35,3,1,51,30
387,ミスター☆ハイエッグ,無,強化合成用,,35,4,1,126,39
388,ミスター☆キングエッグ,無,強化合成用,,35,5,1,251,52
389,ディバインネッキー,光,獣,,5,5,35,832,360
390,ヘレネ,炎,妖精,,15,5,50,1938,533
391,炎の美女ヘレネ,炎,妖精,,20,6,99,2422,1204
392,オノノコマチ,水,妖精,,15,5,50,1881,500
393,水の美女オノノコマチ,水,妖精,,20,6,99,2351,1195
394,ヨウキヒ,風,妖精,,15,5,50,1995,461
395,風の美女ヨウキヒ,風,妖精,,20,6,99,2493,1180
396,カタリナ,光,妖精,,15,5,50,1911,499
397,光の美女カタリナ,光,妖精,,20,6,99,2389,1176
398,クレオパトラ,闇,妖精,,15,5,50,1854,516
399,闇の美女クレオパトラ,闇,妖精,,20,6,99,2318,1174
400,エリザベート,無,妖精,,15,5,50,1911,506
401,無の美女エリザベート,無,妖精,,20,6,99,2389,1196
402,ゴルドラド,光,機械,,12,5,35,942,511
403,ドス：ゴルドラド,光,機械,,18,6,99,2495,1275
404,エレン,炎,人間,,8,4,35,861,632
405,エレン・イェーガー,炎,人間,,15,5,99,1473,1027
406,ミカサ,水,人間,,8,4,35,803,727
407,ミカサ・アッカーマン,水,人間,,15,5,99,1350,1214
408,アルミン,風,人間,,8,4,35,811,594
409,アルミン・アルレルト,風,人間,,15,5,99,1303,998
410,クリスタ,光,人間,,8,4,35,781,584
411,クリスタ・レンズ,光,人間,,15,5,99,1279,940
412,リヴァイ,闇,人間,,8,5,35,1034,873
413,リヴァイ兵長,闇,人間,,15,6,99,1768,1457
414,サシャ,無,人間,,8,4,35,894,648
415,サシャ・ブラウス,無,人間,,15,5,99,1436,1057
416,女型の巨人,水,人間,,35,5,99,1695,719
417,鎧の巨人,無,人間,,35,5,99,2301,856
418,超大型巨人,炎,人間,,35,6,99,3560,985
419,巨人：かきあげ,無,人間,,8,3,30,829,625
420,巨人：前かがみ,無,人間,,8,3,30,785,652
421,巨人：這いずり,無,人間,,8,4,30,1145,711
422,ミスター☆キョジン,闇,人間,,35,1,1,2000,478
423,シラヌイ,炎,機械,,20,5,35,761,1120
424,シラヌイ：ホムラ,炎,機械,,25,6,99,2283,3360
425,サミダレ,水,機械,,20,5,35,1283,856
426,サミダレ：マブイ,水,機械,,25,6,99,3850,2568
427,マイカゼ,風,機械,,20,5,35,952,983
428,マイカゼ：カグラ,風,機械,,25,6,99,2856,2951
429,ライコウ,光,機械,,20,5,35,1095,786
430,ライコウ：ナユタ,光,機械,,25,6,99,3285,2358
431,ムラクモ,闇,機械,,20,5,35,619,962
432,ムラクモ：オロチ,闇,機械,,25,6,99,1859,2888
433,アワユキ,無,機械,,20,5,35,1986,861
434,アワユキ：ミヤビ,無,機械,,25,6,99,3950,2583
435,レプリカ,無,機械,,40,5,50,747,1095
436,レプリカ：バースト,無,機械,,50,6,99,2243,3285
437,フィアトロン：ドライ,炎,機械,,10,3,70,2692,829
438,ウォタトロン：ドライ,水,機械,,10,3,70,2809,765
439,ウィンドロン：ドライ,風,機械,,10,3,70,2748,793
440,ライトロン：ドライ,光,機械,,10,3,70,2661,981
441,ダクトロン：ドライ,闇,機械,,10,3,70,2079,1005
442,ノントロン：ドライ,無,機械,,10,3,70,2882,870
443,ディバインロイド,風,機械,,1,5,1,998,94
444,恋乙女エキドナ,炎,妖精,,20,5,99,1261,948
445,癒乙女マーメイド,水,妖精,,20,5,99,1306,912
446,森乙女アルラウネ,風,妖精,,20,5,99,1212,924
447,戦乙女ワルキューレ,光,妖精,,20,5,99,1240,875
448,悪乙女サキュバス,闇,妖精,,20,5,99,1272,904
449,霊乙女ゴースト,無,妖精,,20,5,99,1254,924
450,セキメン,炎,人間,,8,4,35,883,544
451,侍,炎,人間,,15,5,99,1466,903
452,ガイア,水,人間,,8,4,35,1066,549
453,野生児,水,人間,,15,5,99,1770,912
454,ウマスク,風,人間,,8,4,35,917,521
455,ガンマン,風,人間,,15,5,99,1523,865
456,ケリ姫,光,人間,,8,5,35,1060,790
457,アン・パント・ケットバス,光,人間,,15,6,99,1760,1311
458,999,闇,人間,,8,4,35,1004,532
459,執行者,闇,人間,,15,5,99,1666,883
460,ウィング,無,人間,,8,4,35,892,518
461,演奏家,無,人間,,15,5,99,1480,860
462,ケリ姫：聖服,光,人間,,4,5,15,500,130
463,ケリ姫：聖装,光,人間,,6,6,35,968,721
464,ユーレイン,炎,獣,,5,2,30,911,206
465,シオマネキー,水,獣,,5,2,30,1055,254
466,ワンリップ,風,獣,,5,2,30,1333,200
467,砲ネット,光,獣,,5,2,30,1008,280
468,シンユウ,闇,獣,,5,2,30,1157,248
469,ギョロリ,無,獣,,5,2,30,1146,236
470,プチリンチー,炎,獣,,5,1,30,413,214
471,ユーリンチー,炎,獣,,35,6,99,1315,749
472,チビガウ,無,竜,,25,6,99,1630,1100
473,オズ,炎,竜,,20,5,35,1280,886
474,道化竜オズ,炎,竜,,25,6,99,3200,2214
475,トト,水,妖精,,20,5,35,1440,750
476,道化犬トト,水,妖精,,25,6,99,3600,1875
477,カカシ,風,魔物,,20,5,35,1608,784
478,道化魔カカシ,風,魔物,,25,6,99,4021,1959
479,レオン,光,獣,,20,5,35,1520,803
480,道化獣レオン,光,獣,,25,6,99,3800,2008
481,ドロシー,闇,人間,,20,5,35,1420,745
482,道化嬢ドロシー,闇,人間,,25,6,99,3550,1862
483,ブリキ,無,機械,,20,5,35,1512,826
484,道化機ブリキ,無,機械,,25,6,99,3780,2066
485,コドラチョコタルト,炎,竜,,8,3,15,471,188
486,ドラチョコタルト,炎,竜,,15,4,50,1007,459
487,コドラマッチャ,風,竜,,8,3,15,425,180
488,ドラマッチャ,風,竜,,15,4,50,891,441
489,コドラチョコバー,光,竜,,8,3,15,429,144
490,ドラチョコバー,光,竜,,15,4,50,911,352
491,イセ,炎,竜,,20,5,50,1120,412
492,甘女竜イセ,炎,竜,,35,6,99,2961,914
493,インダストラ,水,竜,,15,5,50,759,841
494,水明竜インダストラ,水,竜,,20,6,99,1898,2102
495,エジプトラ,闇,竜,,15,5,50,736,858
496,闇明竜エジプトラ,闇,竜,,20,6,99,1840,2145
497,メソポティア,無,竜,,15,5,50,746,860
