No,Unit'sName,Name1,Type1,P11,P21,P31,P41,P51,Tage1,Lev1,Crt1,Boost1,Detail1,Name2,Type2,P12,P22,P32,P42,P52,Tage2,Lev2,Crt2,Boost2,Detail2
30,フロスト,アクアボール,水,水,水,,,,単体,小,,,,アクアラッシュ,水,水,水,水,水,水,全体,中,,,
31,フロッティ,アクアボール,水,水,水,,,,単体,小,,,,アクアラッシュ,水,水,水,水,水,水,全体,中,,,
32,フロッティ：プロト,アクアブロウ,水,水,水,水,,,単体,中,,,,アクアストーム,水,水,水,水,水,水,全体,特大,,,
33,ミスト,ウィンドボール,風,風,風,,,,単体,小,,,,,,,,,,,,,,,
34,ミスティル,ウィンドボール,風,風,風,,,,単体,小,,,,ウィンドラッシュ,風,風,風,風,風,風,全体,中,,,
35,ミスティルテイン,ウィンドボール,風,風,風,,,,単体,小,,,,ウィンドラッシュ,風,風,風,風,風,風,全体,中,,,
36,ミスティルテイン：プロト,ウィンドブロウ,風,風,風,風,,,単体,中,,,,ウィンドストーム,風,風,風,風,風,風,全体,特大,,,
37,グーン,ライトボール,光,光,光,,,,単体,小,,,,,,,,,,,,,,,
38,グング,ライトボール,光,光,光,,,,単体,小,,,,ライトラッシュ,光,光,光,光,光,光,全体,中,,,
39,グングニル,ライトボール,光,光,光,,,,単体,小,,,,ライトラッシュ,光,光,光,光,光,光,全体,中,,,
40,グングニル：プロト,ライトブロウ,光,光,光,光,,,単体,中,,,,ライトストーム,光,光,光,光,光,光,全体,特大,,,
41,ダーン,ダークボール,闇,闇,闇,,,,単体,小,,,,,,,,,,,,,,,
42,ダーイン,ダークボール,闇,闇,闇,,,,単体,小,,,,ダークラッシュ,闇,闇,闇,闇,闇,闇,全体,中,,,
43,ダインスレイヴ,ダークボール,闇,闇,闇,,,,単体,小,,,,ダークラッシュ,闇,闇,闇,闇,闇,闇,全体,中,,,
44,ダインスレイヴ：プロト,ダークブロウ,闇,闇,闇,闇,,,単体,中,,,,ダークストーム,闇,闇,闇,闇,闇,闇,全体,特大,,,
45,ティル,ノーンボール,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
46,ティルファ,ノーンボール,無,無,無,,,,単体,小,,,,ノーンラッシュ,無,無,無,無,無,無,全体,中,,,
47,ティルファング,ノーンボール,無,無,無,,,,単体,小,,,,ノーンラッシュ,無,無,無,無,無,無,全体,中,,,
48,ティルファング：プロト,ノーンブロウ,無,無,無,無,,,単体,中,,,,ノーンストーム,無,無,無,無,無,無,全体,特大,,,
49,アカリウム,ファイアボール,炎,炎,炎,,,,単体,小,,,,,,,,,,,,,,,
50,フレイリウム,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアビート,炎,炎,炎,炎,炎,炎,全体,小,,,
51,アオリウム,アクアボール,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
52,ウォタリウム,アクアボール,水,水,水,,,,単体,小,,,,アクアビート,水,水,水,水,水,水,全体,小,,,
53,ミドリウム,ウィンドボール,風,風,風,,,,単体,小,,,,,,,,,,,,,,,
54,ウィンドリウム,ウィンドボール,風,風,風,,,,単体,小,,,,ウィンドビート,風,風,風,風,風,風,全体,小,,,
55,ピカリウム,ライトボール,光,光,光,,,,単体,小,,,,,,,,,,,,,,,
56,シャイリウム,ライトボール,光,光,光,,,,単体,小,,,,ライトビート,光,光,光,光,光,光,全体,小,,,
57,ヤミリウム,ダークボール,闇,闇,闇,,,,単体,小,,,,,,,,,,,,,,,
58,ダクリウム,ダークボール,闇,闇,闇,,,,単体,小,,,,ダークビート,闇,闇,闇,闇,闇,闇,全体,小,,,
59,ムリウム,ノーンボール,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
60,ムムリウム,ノーンボール,無,無,無,,,,単体,小,,,,ノーンビート,無,無,無,無,無,無,全体,小,,,
61,ヒノポックル,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアヒール,炎,回,炎,,,,回復,10%,,,
62,ヒノポックルン,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアヒールⅡ,炎,回,回,炎,,,回復,20%,,,
63,ミズポックル,アクアボール,水,水,水,,,,単体,小,,,,アクアヒール,水,回,水,,,,回復,10%,,,
64,ミズポックルン,アクアボール,水,水,水,,,,単体,小,,,,アクアヒールⅡ,水,回,回,水,,,回復,20%,,,
65,カゼポックル,ウィンドボール,風,風,風,,,,単体,小,,,,ウィンドヒール,風,回,風,,,,回復,10%,,,
66,カゼポックルン,ウィンドボール,風,風,風,,,,単体,小,,,,ウィンドヒールⅡ,風,回,回,風,,,回復,20%,,,
67,ピカポックル,ライトボール,光,光,光,,,,単体,小,,,,ライトヒール,光,回,光,,,,回復,10%,,,
68,ピカポックルン,ライトボール,光,光,光,,,,単体,小,,,,ライトヒールⅡ,光,回,回,光,,,回復,20%,,,
69,ヤミポックル,ダークボール,闇,闇,闇,,,,単体,小,,,,ダークヒール,闇,回,闇,,,,回復,10%,,,
70,ヤミポックルン,ダークボール,闇,闇,闇,,,,単体,小,,,,ダークヒールⅡ,闇,回,回,闇,,,回復,20%,,,
71,コロポックル,ノーンボール,無,無,無,,,,単体,小,,,,ノーンヒール,無,回,無,,,,回復,10%,,,
72,コロポックルン,ノーンボール,無,無,無,,,,単体,小,,,,ノーンヒールⅡ,無,回,回,無,,,回復,20%,,,
73,キャット・ヒー,ファイアボール,炎,炎,炎,,,,単体,小,,,,,,,,,,,,,,,
74,ケット・ヒー,ファイアブロウ,炎,炎,炎,炎,,,単体,中,,,,,,,,,,,,,,,
75,キャット・スィー,アクアボール,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
76,ケット・スィー,アクアブロウ,水,水,水,水,,,単体,中,,,,,,,,,,,,,,,
77,キャット・フー,ウィンドボール,風,風,風,,,,単体,小,,,,,,,,,,,,,,,
78,ケット・フー,ウィンドブロウ,風,風,風,風,,,単体,中,,,,,,,,,,,,,,,
79,キャット・ピー,ライトボール,光,光,光,,,,単体,小,,,,,,,,,,,,,,,
80,ケット・ピー,ライトブロウ,光,光,光,光,,,単体,中,,,,,,,,,,,,,,,
81,キャット・ミー,ダークボール,闇,闇,闇,,,,単体,小,,,,,,,,,,,,,,,
82,ケット・ミー,ダークブロウ,闇,闇,闇,闇,,,単体,中,,,,,,,,,,,,,,,
83,キャット・ムー,ノーンボール,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
84,ケット・ムー,ノーンブロウ,無,無,無,無,,,単体,中,,,,,,,,,,,,,,,
85,フィアトロン,ファイアブロウ,炎,炎,炎,炎,,,単体,中,,,,,,,,,,,,,,,
86,フィアトロン：ツヴァイ,ファイアブロウ,炎,炎,炎,炎,,,単体,中,,,,ファイアラッシュ,炎,炎,炎,炎,炎,炎,全体,中,,,
87,ウォタトロン,アクアブロウ,水,水,水,水,,,単体,中,,,,,,,,,,,,,,,
88,ウォタトロン：ツヴァイ,アクアブロウ,水,水,水,水,,,単体,中,,,,アクアラッシュ,水,水,水,水,水,水,全体,中,,,
89,ウィンドロン,ウィンドブロウ,風,風,風,風,,,単体,中,,,,,,,,,,,,,,,
90,ウィンドロン：ツヴァイ,ウィンドブロウ,風,風,風,風,,,単体,中,,,,ウィンドラッシュ,風,風,風,風,風,風,全体,中,,,
91,ライトロン,ライトブロウ,光,光,光,光,,,単体,中,,,,,,,,,,,,,,,
92,ライトロン：ツヴァイ,ライトブロウ,光,光,光,光,,,単体,中,,,,ライトラッシュ,光,光,光,光,光,光,全体,中,,,
93,ダクトロン,ダークブロウ,闇,闇,闇,闇,,,単体,中,,,,,,,,,,,,,,,
94,ダクトロン：ツヴァイ,ダークブロウ,闇,闇,闇,闇,,,単体,中,,,,ダークラッシュ,闇,闇,闇,闇,闇,闇,全体,中,,,
95,ノントロン,ノーンブロウ,無,無,無,無,,,単体,中,,,,,,,,,,,,,,,
96,ノントロン：ツヴァイ,ノーンブロウ,無,無,無,無,,,単体,中,,,,ノーンラッシュ,無,無,無,無,無,無,全体,中,,,
97,フレイムエッジ,フレイムエッジ,炎,炎,炎,,,,単体,小,,,,,,,,,,,,,,,
98,フレイムタン,フレイムタン,炎,炎,炎,炎,,,単体,中,,,,,,,,,,,,,,,
99,アイスエッジ,アイスエッジ,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
100,アイスブランド,アイスブランド,水,水,水,水,,,単体,中,,,,,,,,,,,,,,,
101,ウィンドエッジ,ウィンドエッジ,風,風,風,,,,単体,小,,,,,,,,,,,,,,,
102,ウィンドピア,ウィンドピア,風,風,風,風,,,単体,中,,,,,,,,,,,,,,,
103,ライトエッジ,ライトエッジ,光,光,光,,,,単体,小,,,,,,,,,,,,,,,
104,ライトブレード,ライトブレード,光,光,光,光,,,単体,中,,,,,,,,,,,,,,,
105,ダークエッジ,ダークエッジ,闇,闇,闇,,,,単体,小,,,,,,,,,,,,,,,
106,ダークサイズ,ダークサイズ,闇,闇,闇,闇,,,単体,中,,,,,,,,,,,,,,,
107,ゼロエッジ,ゼロエッジ,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
108,ムミョウガタナ,ムミョウガタナ,無,無,無,無,,,単体,中,,,,,,,,,,,,,,,
109,プチドナ,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアヒール,炎,回,炎,,,,回復,10%,,,
110,エキドナ,ファイアブロウ,炎,炎,炎,炎,,,単体,中,,,,ファイアヒールⅡ,炎,回,回,炎,,,回復,20%,,,
111,プチメイド,アクアボール,水,水,水,,,,単体,小,,,,アクアヒール,水,回,水,,,,回復,10%,,,
112,マーメイド,アクアブロウ,水,水,水,水,,,単体,中,,,,アクアヒールⅡ,水,回,回,水,,,回復,20%,,,
113,プチラウネ,ウィンドボール,風,風,風,,,,単体,小,,,,ウィンドヒール,風,回,風,,,,回復,10%,,,
114,アルラウネ,ウィンドブロウ,風,風,風,風,,,単体,中,,,,ウィンドヒールⅡ,風,回,回,風,,,回復,20%,,,
115,プチキューレ,ライトボール,光,光,光,,,,単体,小,,,,ライトヒール,光,回,光,,,,回復,10%,,,
116,ワルキューレ,ライトブロウ,光,光,光,光,,,単体,中,,,,ライトヒールⅡ,光,回,回,光,,,回復,20%,,,
117,プチバス,ダークボール,闇,闇,闇,,,,単体,小,,,,ダークヒール,闇,回,闇,,,,回復,10%,,,
118,サキュバス,ダークブロウ,闇,闇,闇,闇,,,単体,中,,,,ダークヒールⅡ,闇,回,回,闇,,,回復,20%,,,
119,プチースト,ノーンボール,無,無,無,,,,単体,小,,,,ノーンヒール,無,回,無,,,,回復,10%,,,
120,ゴースト,ノーンブロウ,無,無,無,無,,,単体,中,,,,ノーンヒールⅡ,無,回,回,無,,,回復,20%,,,
121,コンコン,ファイアボール,炎,炎,炎,,,,単体,小,,,,,,,,,,,,,,,
122,クビギツネ,ファイアブロウ,炎,炎,炎,炎,,,単体,中,,,,,,,,,,,,,,,
123,ワオン,アクアボール,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
124,ハティ,アクアブロウ,水,水,水,水,,,単体,中,,,,,,,,,,,,,,,
125,ブヒー,ウィンドボール,風,風,風,,,,単体,小,,,,,,,,,,,,,,,
126,ベヒモス,ウィンドブロウ,風,風,風,風,,,単体,中,,,,,,,,,,,,,,,
127,ガルル,ライトボール,光,光,光,,,,単体,小,,,,,,,,,,,,,,,
128,ケルベロス,ライトブロウ,光,光,光,光,,,単体,中,,,,,,,,,,,,,,,
129,カァーカ,ダークボール,闇,闇,闇,,,,単体,小,,,,,,,,,,,,,,,
130,ヤタガラス,ダークブロウ,闇,闇,闇,闇,,,単体,中,,,,,,,,,,,,,,,
131,シュルル,ノーンボール,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
132,バジリスク,ノーンブロウ,無,無,無,無,,,単体,中,,,,,,,,,,,,,,,
133,サラマンダー,ファイアブロウ,炎,炎,炎,炎,,,単体,中,,,,ファイアラッシュ,炎,炎,炎,炎,炎,炎,全体,中,,,
134,サラマンダー：バースト,ファイアブロウ,炎,炎,炎,炎,,,単体,中,,,,ファイアウェーブ,炎,炎,炎,炎,炎,炎,全体,大,,,
135,リヴァイアサン,アクアブロウ,水,水,水,水,,,単体,中,,,,アクアラッシュ,水,水,水,水,水,水,全体,中,,,
136,リヴァイアサン：バースト,アクアブロウ,水,水,水,水,,,単体,中,,,,アクアウェーブ,水,水,水,水,水,水,全体,大,,,
137,ヨルムンガルド,ウィンドブロウ,風,風,風,風,,,単体,中,,,,ウィンドラッシュ,風,風,風,風,風,風,全体,中,,,
138,ヨルムンガルド：バースト,ウィンドブロウ,風,風,風,風,,,単体,中,,,,ウィンドウェーブ,風,風,風,風,風,風,全体,大,,,
139,ファーブニル,ライトブロウ,光,光,光,光,,,単体,中,,,,ライトラッシュ,光,光,光,光,光,光,全体,中,,,
140,ファーブニル：バースト,ライトブロウ,光,光,光,光,,,単体,中,,,,ライトウェーブ,光,光,光,光,光,光,全体,大,,,
141,ニーズヘッグ,ダークブロウ,闇,闇,闇,闇,,,単体,中,,,,ダークラッシュ,闇,闇,闇,闇,闇,闇,全体,中,,,
142,ニーズヘッグ：バースト,ダークブロウ,闇,闇,闇,闇,,,単体,中,,,,ダークウェーブ,闇,闇,闇,闇,闇,闇,全体,大,,,
143,ウロボロス,ノーンブロウ,無,無,無,無,,,単体,中,,,,ノーンラッシュ,無,無,無,無,無,無,全体,中,,,
144,ウロボロス：バースト,ノーンブロウ,無,無,無,無,,,単体,中,,,,ノーンウェーブ,無,無,無,無,無,無,全体,大,,,
145,イフリート,ファイア：オリジン,炎,炎,炎,,,,単体,小,,,,フルファイア：オリジン,炎,炎,炎,炎,炎,炎,全体,小,,,
146,炎精王イフリート,ファイアラア：オリジン,炎,炎,炎,,,,単体,中,,,,フルファイアラア：オリジン,炎,炎,炎,炎,炎,炎,全体,中,,,
147,ウンディーネ,アクア：オリジン,水,水,水,,,,単体,小,,,,アクアヒール：オリジン,水,回,水,,,,回復,15%,,,
148,水精王ウンディーネ,アクアラア：オリジン,水,水,水,,,,単体,中,,,,アクアヒール：オリジンⅡ,水,回,回,水,,,回復,25%,,,
149,シルフ,ウィンド：オリジン,風,風,風,,,,単体,小,,,,ウィンドネス：オリジン,風,風,風,風,風,風,単体,特大,,,
150,風精王シルフ,ウィンダラア：オリジン,風,風,風,,,,単体,中,,,,ウィンダリオン：オリジン,風,風,風,風,風,,単体,超特大,,,
151,ウィルオウィスプ,ライト：オリジン,光,光,光,,,,単体,小,,,,ライトヒール：オリジンⅡ,光,回,回,光,,,回復,25%,,,
152,光精王ウィルオウィスプ,ライトラア：オリジン,光,光,光,,,,単体,中,,,,ライトヒール：オリジンⅢ,光,回,回,光,,,回復,35%,,,
153,シャドウ,ダーク：オリジン,闇,闇,闇,,,,単体,小,,,,フルダーク：オリジン,闇,闇,闇,闇,闇,闇,全体,小,,,
154,闇精王シャドウ,ダークラア：オリジン,闇,闇,闇,闇,,,単体,中,,,,フルダークラア：オリジン,闇,闇,闇,闇,闇,,全体,中,,,
155,ゼロ,ノーン：オリジン,無,無,無,,,,単体,小,,,,フルノーン：オリジン,無,無,無,無,無,無,全体,小,,,
156,無精王ゼロ,ノーンラア：オリジン,無,無,無,,,,単体,中,,,,フルノーンラア：オリジン,無,無,無,無,無,無,全体,中,,,
157,ヒノゲコー,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアブロウ,炎,炎,炎,炎,,,単体,中,,,
158,ミズゲコー,アクアボール,水,水,水,,,,単体,小,,,,アクアブロウ,水,水,水,水,,,単体,中,,,
159,カゼゲコー,ウィンドボール,風,風,風,,,,単体,小,,,,ウィンドブロウ,風,風,風,風,,,単体,中,,,
160,ピカゲコー,ライトボール,光,光,光,,,,単体,小,,,,ライトブロウ,光,光,光,光,,,単体,中,,,
161,ヤミゲコー,ダークボール,闇,闇,闇,,,,単体,小,,,,ダークブロウ,闇,闇,闇,闇,,,単体,中,,,
162,ムゲコー,ノーンボール,無,無,無,,,,単体,小,,,,ノーンブロウ,無,無,無,無,,,単体,中,,,
163,ヒノモッフル,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアブロウ,炎,炎,炎,炎,,,単体,中,,,
164,ミズモッフル,アクアボール,水,水,水,,,,単体,小,,,,アクアブロウ,水,水,水,水,,,単体,中,,,
165,カゼモッフル,ウィンドボール,風,風,風,,,,単体,小,,,,ウィンドブロウ,風,風,風,風,,,単体,中,,,
166,ピカモッフル,ライトボール,光,光,光,,,,単体,小,,,,ライトブロウ,光,光,光,光,,,単体,中,,,
167,ヤミモッフル,ダークボール,闇,闇,闇,,,,単体,小,,,,ダークブロウ,闇,闇,闇,闇,,,単体,中,,,
168,ムモッフル,ノーンボール,無,無,無,,,,単体,小,,,,ノーンブロウ,無,無,無,無,,,単体,中,,,
169,ヒノロボタン,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアブロウ,炎,炎,炎,炎,,,単体,中,,,
170,ミズロボタン,アクアボール,水,水,水,,,,単体,小,,,,アクアブロウ,水,水,水,水,,,単体,中,,,
171,カゼロボタン,ウィンドボール,風,風,風,,,,単体,小,,,,ウィンドブロウ,風,風,風,風,,,単体,中,,,
172,ピカロボタン,ライトボール,光,光,光,,,,単体,小,,,,ライトブロウ,光,光,光,光,,,単体,中,,,
173,ヤミロボタン,ダークボール,闇,闇,闇,,,,単体,小,,,,ダークブロウ,闇,闇,闇,闇,,,単体,中,,,
174,ムロボタン,ノーンボール,無,無,無,,,,単体,小,,,,ノーンブロウ,無,無,無,無,,,単体,中,,,
175,ヒノテルテル,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアブロウ,炎,炎,炎,炎,,,単体,中,,,
176,ミズテルテル,アクアボール,水,水,水,,,,単体,小,,,,アクアブロウ,水,水,水,水,,,単体,中,,,
177,カゼテルテル,ウィンドボール,風,風,風,,,,単体,小,,,,ウィンドブロウ,風,風,風,風,,,単体,中,,,
178,ピカテルテル,ライトボール,光,光,光,,,,単体,小,,,,ライトブロウ,光,光,光,光,,,単体,中,,,
179,ヤミテルテル,ダークボール,闇,闇,闇,,,,単体,小,,,,ダークブロウ,闇,闇,闇,闇,,,単体,中,,,
180,ムテルテル,ノーンボール,無,無,無,,,,単体,小,,,,ノーンブロウ,無,無,無,無,,,単体,中,,,
181,ヒノドラグルミ,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアブロウ,炎,炎,炎,炎,,,単体,中,,,
182,ミズドラグルミ,アクアボール,水,水,水,,,,単体,小,,,,アクアブロウ,水,水,水,水,,,単体,中,,,
183,カゼドラグルミ,ウィンドボール,風,風,風,,,,単体,小,,,,ウィンドブロウ,風,風,風,風,,,単体,中,,,
184,ピカドラグルミ,ライトボール,光,光,光,,,,単体,小,,,,ライトブロウ,光,光,光,光,,,単体,中,,,
185,ヤミドラグルミ,ダークボール,闇,闇,闇,,,,単体,小,,,,ダークブロウ,闇,闇,闇,闇,,,単体,中,,,
186,ムドラグルミ,ノーンボール,無,無,無,,,,単体,小,,,,ノーンブロウ,無,無,無,無,,,単体,中,,,
187,フレアエッグ,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアブロウ,炎,炎,炎,炎,,,単体,中,,,
188,ハイフレアエッグ,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアブロウ,炎,炎,炎,炎,,,単体,中,,,
189,キングフレアエッグ,ファイボール,炎,炎,炎,,,,単体,小,,,,ファイアヴォルト,炎,炎,炎,炎,炎,,単体,大,,,
190,アクアエッグ,アクアボール,水,水,水,,,,単体,小,,,,アクアブロウ,水,水,水,水,,,単体,中,,,
191,ハイアクアエッグ,アクアボール,水,水,水,,,,単体,小,,,,アクアブロウ,水,水,水,水,,,単体,中,,,
192,キングアクアエッグ,アクアボール,水,水,水,,,,単体,小,,,,アクアヴォルト,水,水,水,水,水,,単体,大,,,
193,ウィンドエッグ,ウィンドボール,風,風,風,,,,単体,小,,,,ウィンドブロウ,風,風,風,風,,,単体,中,,,
194,ハイウィンドエッグ,ウィンドボール,風,風,風,,,,単体,小,,,,ウィンドブロウ,風,風,風,風,,,単体,中,,,
195,キングウィンドエッグ,ウィンドボール,風,風,風,,,,単体,小,,,,ウィンドヴォルト,風,風,風,風,風,,単体,大,,,
196,ゴールドエッグ,ライトボール,光,光,光,,,,単体,小,,,,ライトブロウ,光,光,光,光,,,単体,中,,,
197,ハイゴールドエッグ,ライトボール,光,光,光,,,,単体,小,,,,ライトブロウ,光,光,光,光,,,単体,中,,,
198,キングゴールドエッグ,ライトボール,光,光,光,,,,単体,小,,,,ライトヴォルト,光,光,光,光,光,,単体,大,,,
199,ダークエッグ,ダークボール,闇,闇,闇,,,,単体,小,,,,ダークブロウ,闇,闇,闇,闇,,,単体,中,,,
200,ハイダークエッグ,ダークボール,闇,闇,闇,,,,単体,小,,,,ダークブロウ,闇,闇,闇,闇,,,単体,中,,,
201,キングダークエッグ,ダークボール,闇,闇,闇,,,,単体,小,,,,ダークヴォルト,闇,闇,闇,闇,闇,,単体,大,,,
202,メタルエッグ,ノーンボール,無,無,無,,,,単体,小,,,,ノーンブロウ,無,無,無,無,,,単体,中,,,
203,ハイメタルエッグ,ノーンボール,無,無,無,,,,単体,小,,,,ノーンブロウ,無,無,無,無,,,単体,中,,,
204,キングメタルエッグ,ノーンボール,無,無,無,,,,単体,小,,,,ノーンヴォルト,無,無,無,無,無,,単体,大,,,
205,ソードアーム,ファイアソード,炎,炎,炎,,,,単体,小,,,,ファイアラッシュ,炎,炎,炎,炎,炎,炎,全体,中,,,
206,ソードアーム：セカンド,ファイアソード：セカンド,炎,炎,炎,炎,,,単体,中,,,,ファイアラッシュ,炎,炎,炎,炎,炎,炎,全体,中,,,
207,ランスアーム,アクアランス,水,水,水,,,,単体,小,,,,アクアラッシュ,水,水,水,水,水,水,全体,中,,,
208,ランスアーム：セカンド,アクアランス：セカンド,水,水,水,水,,,単体,中,,,,アクアラッシュ,木,水,水,水,水,水,全体,中,,,
209,アローアーム,ウィンドアロー,風,風,風,,,,単体,小,,,,ウィンドラッシュ,風,風,風,風,風,風,全体,中,,,
210,アローアーム：セカンド,ウィンドアロー：セカンド,風,風,風,風,,,単体,中,,,,ウィンドラッシュ,風,風,風,風,風,風,全体,中,,,
211,アクスアーム,ライトアクス,光,光,光,,,,単体,小,,,,ライトラッシュ,光,光,光,光,光,光,全体,中,,,
212,アクスアーム：セカンド,ライトアクス：セカンド,光,光,光,光,,,単体,中,,,,ライトラッシュ,光,光,光,光,光,光,全体,中,,,
213,サイズアーム,ダークシックル,闇,闇,闇,,,,単体,小,,,,ダークラッシュ,闇,闇,闇,闇,闇,闇,全体,中,,,
214,サイズアーム：セカンド,ダークシックル：セカンド,闇,闇,闇,闇,,,単体,中,,,,ダークラッシュ,闇,闇,闇,闇,闇,闇,全体,中,,,
215,ドリルアーム,ノーンドリル,無,無,無,,,,単体,小,,,,ノーンラッシュ,無,無,無,無,無,無,全体,中,,,
216,ドリルアーム：セカンド,ノーンドリル：セカンド,無,無,無,無,,,単体,中,,,,ノーンラッシュ,無,無,無,無,無,無,全体,中,,,
217,ロキ,グランドペイン,無,無,無,,,,単体,中,,,,レーヴァティン：レプリカ,無,無,無,無,無,,全体,中,,,
218,悪戯王ロキ,ファントムペイン,無,無,無,,,,単体,大,,,,レーヴァティン：オリジン,無,回,水,風,闇,,全体,超特大,,,
219,クロノス,タイムレス,無,無,無,,,,単体,中,,,,エンド・オブ・タイム,無,無,無,無,無,無,全体,特大,,,
220,観測者クロノス,タイムレス・ワールド,無,無,無,,,,単体,中,,,,エンド・オブ・タイム,無,無,無,無,無,無,全体,特大,,,
221,ゴウエンニヤカレシモノ,アカクモエサカルハネ,炎,炎,炎,炎,,,単体,中,,,,スベテヲヤキツクスゴウカ,炎,炎,炎,炎,炎,炎,全体,特大,,,
